Instance_name,frameTime,GoldStandard,time,FM1 ,FM2 ,FM3 ,FF1 ,FF2 ,FF3
train_7,0.0,-0.020888999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.04,-0.020888999999999998,0.04,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.08,-0.020888999999999998,0.08,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.12,-0.020888999999999998,0.12,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.16,-0.020888999999999998,0.16,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.2,-0.020888999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.24,-0.020888999999999998,0.24,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.28,-0.020888999999999998,0.28,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.32,-0.020888999999999998,0.32,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.36,-0.020888999999999998,0.36,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.4,-0.020888999999999998,0.4,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.44,-0.020888999999999998,0.44,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.48,-0.020888999999999998,0.48,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.52,-0.020888999999999998,0.52,0.0,0.0,0.0,0.0,0.0,0.0
train_7,0.56,-0.019222,0.56,0.0,0.0,0.0,0.01,0.0,0.0
train_7,0.6,-0.019222,0.6,0.0,0.0,0.0,0.01,0.0,0.0
train_7,0.64,-0.019222,0.64,0.0,0.0,0.0,0.01,0.0,0.0
train_7,0.68,-0.019222,0.68,0.0,0.0,0.0,0.01,0.0,0.0
train_7,0.72,-0.019222,0.72,0.0,0.0,0.0,0.01,0.0,0.0
train_7,0.76,-0.019222,0.76,0.0,0.0,0.0,0.01,0.0,0.0
train_7,0.8,-0.019222,0.8,0.0,0.0,0.0,0.01,0.0,0.0
train_7,0.84,-0.019222,0.84,0.0,0.0,0.0,0.01,0.0,0.0
train_7,0.88,-0.019222,0.88,0.0,0.0,0.0,0.01,0.0,0.0
train_7,0.92,-0.019222,0.92,0.0,0.0,0.0,0.01,0.0,0.0
train_7,0.96,-0.019222,0.96,0.0,0.0,0.0,0.01,0.0,0.0
train_7,1.0,-0.019222,1.0,0.0,0.0,0.0,0.01,0.0,0.0
train_7,1.04,-0.019222,1.04,0.0,0.0,0.0,0.01,0.0,0.0
train_7,1.08,-0.019222,1.08,0.0,0.0,0.0,0.01,0.0,0.0
train_7,1.12,-0.020888999999999998,1.12,0.0,-0.01,0.0,0.01,0.0,0.0
train_7,1.16,-0.022556,1.16,0.0,-0.01,-0.01,0.01,0.0,0.0
train_7,1.2,-0.024222,1.2,0.0,-0.02,-0.01,0.01,0.0,0.0
train_7,1.24,-0.024222,1.24,0.0,-0.02,-0.01,0.01,0.0,0.0
train_7,1.28,-0.024222,1.28,0.0,-0.02,-0.01,0.01,0.0,0.0
train_7,1.32,-0.024222,1.32,0.0,-0.02,-0.01,0.01,0.0,0.0
train_7,1.36,-0.019222,1.36,0.0,-0.01,0.01,0.01,0.0,0.0
train_7,1.4,-0.015889,1.4,0.0,0.0,0.02,0.01,0.0,0.0
train_7,1.44,-0.012556,1.44,0.0,0.01,0.03,0.01,0.0,0.0
train_7,1.48,-0.010889,1.48,0.0,0.02,0.03,0.01,0.0,0.0
train_7,1.52,-0.0075557,1.52,0.0,0.03,0.04,0.01,0.0,0.0
train_7,1.56,-0.0075557,1.56,0.0,0.03,0.04,0.01,0.0,0.0
train_7,1.6,-0.0075557,1.6,0.0,0.04,0.03,0.01,0.0,0.0
train_7,1.64,-0.0075557,1.64,0.0,0.04,0.03,0.01,0.0,0.0
train_7,1.68,-0.0075557,1.68,0.0,0.04,0.03,0.01,0.0,0.0
train_7,1.72,-0.005889,1.72,0.0,0.05,0.03,0.01,0.0,0.0
train_7,1.76,-0.0075557,1.76,0.0,0.05,0.02,0.01,0.0,0.0
train_7,1.8,-0.009222399999999999,1.8,0.0,0.05,0.01,0.01,0.0,0.0
train_7,1.84,-0.009222399999999999,1.84,0.0,0.05,0.01,0.01,0.0,0.0
train_7,1.88,-0.009222399999999999,1.88,0.0,0.05,0.01,0.01,0.0,0.0
train_7,1.92,-0.010889,1.92,0.0,0.05,0.0,0.01,0.0,0.0
train_7,1.96,-0.010889,1.96,0.0,0.05,0.0,0.01,0.0,0.0
train_7,2.0,-0.010889,2.0,0.0,0.05,0.0,0.01,0.0,0.0
train_7,2.04,-0.010889,2.04,0.0,0.05,0.0,0.01,0.0,0.0
train_7,2.08,-0.009222399999999999,2.08,0.0,0.05,0.01,0.01,0.0,0.0
train_7,2.12,-0.010889,2.12,-0.01,0.05,0.01,0.01,0.0,0.0
train_7,2.16,-0.010889,2.16,-0.01,0.05,0.01,0.01,0.0,0.0
train_7,2.2,-0.010889,2.2,-0.01,0.05,0.01,0.01,0.0,0.0
train_7,2.24,-0.010889,2.24,-0.01,0.05,0.01,0.01,0.0,0.0
train_7,2.28,-0.009222399999999999,2.28,-0.01,0.05,0.01,0.01,0.0,0.01
train_7,2.32,-0.009222399999999999,2.32,-0.01,0.05,0.01,0.01,0.0,0.01
train_7,2.36,-0.009222399999999999,2.36,-0.01,0.05,0.01,0.01,0.0,0.01
train_7,2.4,-0.009222399999999999,2.4,-0.01,0.05,0.01,0.01,0.0,0.01
train_7,2.44,-0.0075557,2.44,-0.01,0.06,0.01,0.01,0.0,0.01
train_7,2.48,-0.005889,2.48,-0.01,0.07,0.01,0.01,0.0,0.01
train_7,2.52,-0.0025556999999999997,2.52,-0.01,0.09,0.01,0.01,0.0,0.01
train_7,2.56,-0.004222399999999999,2.56,-0.01,0.09,0.0,0.01,0.0,0.01
train_7,2.6,-0.0025556999999999997,2.6,-0.01,0.1,0.0,0.01,0.0,0.01
train_7,2.64,-0.00088902,2.64,-0.01,0.11,0.0,0.01,0.0,0.01
train_7,2.68,0.00077765,2.68,-0.01,0.12,0.0,0.01,0.0,0.01
train_7,2.72,0.0024443,2.72,-0.01,0.13,0.0,0.01,0.0,0.01
train_7,2.76,0.0024443,2.76,-0.01,0.14,-0.01,0.01,0.0,0.01
train_7,2.8,0.0024443,2.8,-0.01,0.14,-0.01,0.01,0.0,0.01
train_7,2.84,0.0024443,2.84,-0.01,0.14,-0.01,0.01,0.0,0.01
train_7,2.88,0.0024443,2.88,-0.01,0.14,-0.01,0.01,0.0,0.01
train_7,2.92,0.0024443,2.92,-0.01,0.14,-0.01,0.01,0.0,0.01
train_7,2.96,0.0074443,2.96,-0.01,0.14,0.02,0.01,0.0,0.01
train_7,3.0,0.010778,3.0,-0.01,0.14,0.04,0.01,0.0,0.01
train_7,3.04,0.015778,3.04,-0.01,0.14,0.07,0.01,0.0,0.01
train_7,3.08,0.020778,3.08,-0.01,0.14,0.1,0.01,0.0,0.01
train_7,3.12,0.024111,3.12,-0.01,0.14,0.12,0.01,0.0,0.01
train_7,3.16,0.027444,3.16,-0.01,0.15,0.13,0.01,0.0,0.01
train_7,3.2,0.032444,3.2,-0.01,0.15,0.16,0.01,0.0,0.01
train_7,3.24,0.034111,3.24,-0.01,0.15,0.17,0.01,0.0,0.01
train_7,3.28,0.035778,3.28,-0.01,0.16,0.17,0.01,0.0,0.01
train_7,3.32,0.037444,3.32,-0.0,0.16,0.17,0.01,0.0,0.01
train_7,3.36,0.037444,3.36,-0.0,0.16,0.17,0.01,0.0,0.01
