Instance_name,frameTime,GoldStandard,time,FM1 ,FM2 ,FM3 ,FF1 ,FF2 ,FF3
train_2,0.0,0.0034658000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.04,0.0034658000000000002,0.04,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.08,0.0034658000000000002,0.08,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.12,0.0034658000000000002,0.12,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.16,0.0034658000000000002,0.16,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.2,0.0034658000000000002,0.2,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.24,0.0034658000000000002,0.24,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.28,0.0034658000000000002,0.28,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.32,0.0034658000000000002,0.32,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.36,0.0034658000000000002,0.36,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.4,0.0034658000000000002,0.4,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.44,0.0034658000000000002,0.44,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.48,0.0034658000000000002,0.48,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.52,0.0034658000000000002,0.52,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.56,0.0034658000000000002,0.56,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.6,0.0034658000000000002,0.6,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.64,0.0034658000000000002,0.64,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.68,0.0034658000000000002,0.68,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.72,0.0034658000000000002,0.72,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.76,0.0034658000000000002,0.76,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.8,0.0034658000000000002,0.8,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.84,0.0034658000000000002,0.84,0.0,0.0,0.0,0.0,0.0,0.0
train_2,0.88,0.011798999999999999,0.88,0.0,0.0,0.05,0.0,0.0,0.0
train_2,0.92,0.015133,0.92,0.0,0.0,0.07,0.0,0.0,0.0
train_2,0.96,0.016799,0.96,0.0,-0.0,0.08,0.0,0.0,0.0
train_2,1.0,0.023466,1.0,0.0,0.02,0.1,0.0,0.0,0.0
train_2,1.04,0.033466,1.04,0.0,0.05,0.13,0.0,0.0,0.0
train_2,1.08,0.038466,1.08,0.0,0.05,0.16,0.0,0.0,0.0
train_2,1.12,0.041799,1.12,0.0,0.06,0.17,0.0,0.0,0.0
train_2,1.16,0.045133,1.16,0.0,0.07,0.18,0.0,0.0,0.0
train_2,1.2,0.048466,1.2,0.0,0.07,0.2,0.0,0.0,0.0
train_2,1.24,0.050133,1.24,0.0,0.07,0.21,0.0,0.0,0.0
train_2,1.28,0.050133,1.28,0.0,0.07,0.21,0.0,0.0,0.0
train_2,1.32,0.051799,1.32,0.0,0.07,0.22,0.0,0.0,0.0
train_2,1.36,0.053466,1.36,0.0,0.07,0.23,0.0,0.0,0.0
train_2,1.4,0.053466,1.4,0.0,0.07,0.23,0.0,0.0,0.0
train_2,1.44,0.053466,1.44,0.0,0.07,0.23,0.0,0.0,0.0
train_2,1.48,0.053466,1.48,0.0,0.07,0.23,0.0,0.0,0.0
train_2,1.52,0.053466,1.52,0.0,0.07,0.23,0.0,0.0,0.0
train_2,1.56,0.053466,1.56,0.0,0.07,0.23,0.0,0.0,0.0
train_2,1.6,0.055133,1.6,0.0,0.07,0.24,0.0,0.0,0.0
train_2,1.64,0.063466,1.64,0.0,0.07,0.24,0.05,0.0,0.0
train_2,1.68,0.073466,1.68,0.0,0.07,0.29,0.06,0.0,0.0
train_2,1.72,0.08013300000000001,1.72,0.0,0.08,0.32,0.06,0.0,0.0
train_2,1.76,0.083466,1.76,0.0,0.08,0.33,0.07,0.0,0.0
train_2,1.8,0.083466,1.8,0.0,0.08,0.33,0.07,0.0,0.0
train_2,1.84,0.086799,1.84,0.0,0.08,0.34,0.08,0.0,0.0
train_2,1.88,0.088466,1.88,0.0,0.08,0.35,0.08,0.0,0.0
train_2,1.92,0.088466,1.92,0.0,0.08,0.35,0.08,0.0,0.0
train_2,1.96,0.093466,1.96,0.0,0.09,0.36,0.09,0.0,0.0
train_2,2.0,0.09513300000000001,2.0,0.0,0.1,0.36,0.09,0.0,0.0
train_2,2.04,0.10013,2.04,0.0,0.11,0.37,0.1,0.0,0.0
train_2,2.08,0.10347,2.08,0.0,0.12,0.37,0.11,0.0,0.0
train_2,2.12,0.1068,2.12,0.0,0.13,0.37,0.12,0.0,0.0
train_2,2.16,0.11012999999999999,2.16,0.0,0.14,0.37,0.13,0.0,0.0
train_2,2.2,0.11513,2.2,0.0,0.16,0.37,0.14,0.0,0.0
train_2,2.24,0.1168,2.24,0.0,0.17,0.37,0.14,0.0,0.0
train_2,2.28,0.1218,2.28,0.0,0.19,0.37,0.15,0.0,0.0
train_2,2.32,0.1268,2.32,0.0,0.21,0.37,0.16,0.0,0.0
train_2,2.36,0.13347,2.36,0.01,0.22,0.38,0.17,0.0,0.0
train_2,2.4,0.14013,2.4,0.03,0.23,0.38,0.18,0.0,0.0
train_2,2.44,0.14847,2.44,0.06,0.23,0.39,0.19,0.0,0.0
train_2,2.48,0.16513,2.48,0.11,0.23,0.39,0.2,0.0,0.04
train_2,2.52,0.17347,2.52,0.16,0.23,0.39,0.2,0.0,0.04
train_2,2.56,0.1868,2.56,0.24,0.22,0.39,0.21,0.0,0.04
train_2,2.6,0.20013,2.6,0.31,0.22,0.39,0.22,0.0,0.04
train_2,2.64,0.2118,2.64,0.38,0.22,0.39,0.22,0.0,0.04
train_2,2.68,0.2218,2.68,0.43,0.22,0.39,0.23,0.0,0.04
train_2,2.72,0.2318,2.72,0.5,0.21,0.39,0.23,0.0,0.04
train_2,2.76,0.24013,2.76,0.54,0.21,0.39,0.24,0.0,0.04
train_2,2.8,0.23847,2.8,0.54,0.2,0.39,0.24,0.0,0.04
train_2,2.84,0.23847,2.84,0.54,0.2,0.39,0.24,0.0,0.04
train_2,2.88,0.2368,2.88,0.54,0.19,0.39,0.24,0.0,0.04
train_2,2.92,0.23513,2.92,0.54,0.18,0.39,0.24,0.0,0.04
train_2,2.96,0.23513,2.96,0.54,0.18,0.39,0.24,0.0,0.04
train_2,3.0,0.2368,3.0,0.54,0.18,0.39,0.25,0.0,0.04
train_2,3.04,0.24013,3.04,0.54,0.19,0.39,0.26,0.0,0.04
train_2,3.08,0.2418,3.08,0.54,0.2,0.39,0.26,0.0,0.04
train_2,3.12,0.24513000000000001,3.12,0.55,0.21,0.39,0.26,0.0,0.04
train_2,3.16,0.2468,3.16,0.55,0.22,0.39,0.26,0.0,0.04
train_2,3.2,0.24846999999999997,3.2,0.55,0.23,0.39,0.26,0.0,0.04
train_2,3.24,0.25013,3.24,0.55,0.24,0.39,0.26,0.0,0.04
train_2,3.28,0.25013,3.28,0.55,0.24,0.39,0.26,0.0,0.04
train_2,3.32,0.2518,3.32,0.55,0.24,0.4,0.26,0.0,0.04
train_2,3.36,0.25847,3.36,0.57,0.24,0.41,0.26,0.0,0.05
train_2,3.4,0.2668,3.4,0.58,0.25,0.43,0.26,0.0,0.06
train_2,3.44,0.2818,3.44,0.63,0.27,0.43,0.26,0.0,0.08
train_2,3.48,0.2918,3.48,0.65,0.29,0.45,0.26,0.0,0.08
train_2,3.52,0.29513,3.52,0.66,0.29,0.46,0.26,-0.01,0.09
train_2,3.56,0.3018,3.56,0.67,0.29,0.48,0.26,-0.01,0.1
train_2,3.6,0.30846999999999997,3.6,0.68,0.29,0.49,0.26,-0.01,0.12
train_2,3.64,0.31847,3.64,0.7,0.29,0.52,0.26,-0.01,0.13
train_2,3.68,0.3318,3.68,0.72,0.29,0.55,0.26,0.0,0.15
train_2,3.72,0.3468,3.72,0.74,0.3,0.57,0.26,0.02,0.17
train_2,3.76,0.35846999999999996,3.76,0.75,0.3,0.59,0.26,0.06,0.17
train_2,3.8,0.36846999999999996,3.8,0.75,0.33,0.6,0.26,0.08,0.17
train_2,3.84,0.37513,3.84,0.75,0.35,0.6,0.26,0.1,0.17
train_2,3.88,0.3818,3.88,0.75,0.38,0.6,0.26,0.1,0.18
train_2,3.92,0.38513000000000003,3.92,0.75,0.4,0.6,0.26,0.1,0.18
train_2,3.96,0.39013000000000003,3.96,0.75,0.41,0.6,0.27,0.11,0.18
train_2,4.0,0.3918,4.0,0.75,0.41,0.6,0.27,0.11,0.19
train_2,4.04,0.39347,4.04,0.74,0.41,0.6,0.27,0.11,0.21
train_2,4.08,0.39513000000000004,4.08,0.74,0.4,0.6,0.27,0.11,0.23
train_2,4.12,0.39513000000000004,4.12,0.74,0.4,0.6,0.27,0.11,0.23
train_2,4.16,0.39347,4.16,0.74,0.4,0.59,0.27,0.11,0.23
train_2,4.2,0.39013000000000003,4.2,0.74,0.38,0.59,0.27,0.11,0.23
train_2,4.24,0.38847,4.24,0.74,0.37,0.59,0.27,0.11,0.23
train_2,4.28,0.38847,4.28,0.74,0.36,0.59,0.27,0.11,0.24
train_2,4.32,0.38847,4.32,0.74,0.35,0.59,0.28,0.11,0.24
train_2,4.36,0.38847,4.36,0.74,0.35,0.59,0.28,0.11,0.24
train_2,4.4,0.3868,4.4,0.74,0.34,0.59,0.28,0.11,0.24
train_2,4.44,0.38847,4.44,0.74,0.34,0.59,0.29,0.11,0.24
train_2,4.48,0.3868,4.48,0.74,0.33,0.59,0.29,0.11,0.24
train_2,4.52,0.38513000000000003,4.52,0.73,0.33,0.58,0.3,0.11,0.24
train_2,4.56,0.38347,4.56,0.73,0.33,0.57,0.3,0.11,0.24
train_2,4.6,0.37847,4.6,0.72,0.3,0.57,0.31,0.11,0.24
train_2,4.64,0.37013,4.64,0.71,0.27,0.56,0.31,0.11,0.24
train_2,4.68,0.36346999999999996,4.68,0.69,0.26,0.55,0.31,0.11,0.24
train_2,4.72,0.3568,4.72,0.66,0.26,0.54,0.31,0.11,0.24
train_2,4.76,0.35347,4.76,0.65,0.26,0.53,0.31,0.11,0.24
train_2,4.8,0.35013,4.8,0.63,0.26,0.52,0.31,0.12,0.24
train_2,4.84,0.34513,4.84,0.6,0.26,0.52,0.31,0.12,0.24
train_2,4.88,0.33847,4.88,0.57,0.26,0.51,0.31,0.12,0.24
train_2,4.92,0.33847,4.92,0.57,0.26,0.5,0.31,0.13,0.24
train_2,4.96,0.3368,4.96,0.57,0.26,0.49,0.31,0.13,0.24
train_2,5.0,0.33847,5.0,0.57,0.27,0.49,0.31,0.13,0.24
train_2,5.04,0.3368,5.04,0.57,0.27,0.48,0.31,0.13,0.24
train_2,5.08,0.3418,5.08,0.57,0.31,0.47,0.31,0.13,0.24
train_2,5.12,0.3418,5.12,0.57,0.31,0.46,0.31,0.14,0.24
train_2,5.16,0.33847,5.16,0.57,0.31,0.44,0.31,0.14,0.24
train_2,5.2,0.33847,5.2,0.57,0.32,0.43,0.31,0.14,0.24
train_2,5.24,0.33847,5.24,0.57,0.32,0.42,0.32,0.14,0.24
train_2,5.28,0.33847,5.28,0.57,0.32,0.42,0.32,0.14,0.24
train_2,5.32,0.33847,5.32,0.56,0.32,0.42,0.33,0.14,0.24
train_2,5.36,0.3368,5.36,0.56,0.32,0.41,0.33,0.14,0.24
